synthetic_4690000_4690000_avg10_std2.5_diagonal_0.005_n14,4690000,4690000,44544480,4690000,4690000,306668160,588.454,128,3.79634,29.6589,3.00379,20.6797,2506.51
synthetic_268000_268000_avg220_std0.02_diagonal_0.005_n14,268000,268000,58826098,268000,268000,313842784,433.509,128,3.35125,26.1816,4.49369,23.9743,2563.58
synthetic_1000000_1000000_avg70_std8_random_n14,1000000,1000000,69500695,1000000,1000000,1935711584,2685.17,128,0,0,0,0,15839.9
synthetic_218000_218000_avg220_std8_random_n14,218000,218000,47849605,218000,218000,376961664,687.805,128,4.66377,36.4357,2.62652,20.6919,3080.42
synthetic_141000_141000_avg420_std1.6_random_n14,141000,141000,59149294,141000,141000,306065696,417.446,128,3.22792,25.2181,4.69102,24.2735,2500.05
synthetic_218000_218000_avg220_std8_diagonal_0.5_n14,218000,218000,47849605,218000,218000,134778880,181.672,128,1.17226,9.15827,10.4495,29.4333,1100.66
synthetic_1000000_1000000_avg70_std8_diagonal_0.5_n14,1000000,1000000,69500695,1000000,1000000,206377504,196.943,128,1.79564,14.0284,9.90856,29.4228,1685.61
synthetic_141000_141000_avg420_std1.6_diagonal_0.5_n14,141000,141000,59149294,141000,141000,164436928,178.003,128,1.42902,11.1643,10.5962,29.4578,1342.82
synthetic_218000_218000_avg220_std8_diagonal_0.05_n14,218000,218000,47849605,218000,218000,193787328,304.993,128,1.7416,13.6063,7.03347,28.485,1582.57
synthetic_141000_141000_avg420_std1.6_diagonal_0.05_n14,141000,141000,59149294,141000,141000,237275488,301.147,128,2.11582,16.5298,7.15667,28.7087,1937.68
synthetic_1000000_1000000_avg70_std8_diagonal_0.05_n14,1000000,1000000,69500695,1000000,1000000,291527936,319.46,128,2.66715,20.8371,6.67087,27.9816,2380.92
synthetic_218000_218000_avg220_std8_diagonal_0.005_n14,218000,218000,47849605,218000,218000,253618944,430.034,128,2.74693,21.4604,4.45934,23.636,2071.7
synthetic_141000_141000_avg420_std1.6_diagonal_0.005_n14,141000,141000,59149294,141000,141000,294296192,397.548,128,3.03191,23.6868,4.99428,24.8489,2403.8
synthetic_1000000_1000000_avg70_std8_diagonal_0.005_n14,1000000,1000000,69500695,1000000,1000000,389533408,460.474,128,4.47483,34.9596,3.97606,22.2848,3182.32
