synthetic_161000_161000_avg10_std3_diagonal_0.005_n14,161000,161000,1529047,161000,161000,10555072,590.304,128,0.136226,1.06427,2.87342,19.8353,86.2746
synthetic_526000_526000_avg3.1_std2.25_random_n14,526000,526000,1465629,526000,526000,46317632,3060.26,128,9.32859,72.8796,0.0402205,1.27107,388.575
synthetic_526000_526000_avg3.1_std2.25_diagonal_0.5_n14,526000,526000,1465629,526000,526000,14500864,889.395,128,0.281362,2.19814,1.33352,13.1937,118.595
synthetic_526000_526000_avg3.1_std2.25_diagonal_0.05_n14,526000,526000,1465629,526000,526000,14779744,908.423,128,0.281398,2.19842,1.33334,13.4458,120.871
synthetic_526000_526000_avg3.1_std2.25_diagonal_0.005_n14,526000,526000,1465629,526000,526000,17023040,1061.48,128,0.281686,2.20067,1.33199,15.4708,139.194
synthetic_4000_4000_avg420_std125_random_n14,4000,4000,1673883,4000,4000,5696768,240.333,128,0.0539218,0.421264,7.94695,27.0461,46.5202
synthetic_4000_4000_avg420_std125_diagonal_0.5_n14,4000,4000,1673883,4000,4000,4369280,161.027,128,0.042078,0.328735,10.1838,26.5824,35.6802
synthetic_4000_4000_avg420_std125_diagonal_0.05_n14,4000,4000,1673883,4000,4000,5696000,240.287,128,0.0538974,0.421073,7.95055,27.0547,46.5139
synthetic_4000_4000_avg420_std125_diagonal_0.005_n14,4000,4000,1673883,4000,4000,5696768,240.333,128,0.0539289,0.421319,7.94591,27.0425,46.5202
synthetic_4000_4000_avg420_std0.2_random_n14,4000,4000,1678010,4000,4000,5786016,244.814,128,0.0545458,0.426139,7.87541,27.1555,47.2491
synthetic_4000_4000_avg420_std0.2_diagonal_0.5_n14,4000,4000,1678010,4000,4000,4396896,162.03,128,0.0423487,0.330849,10.1436,26.5794,35.9057
synthetic_4000_4000_avg420_std0.2_diagonal_0.05_n14,4000,4000,1678010,4000,4000,5786016,244.814,128,0.0545818,0.42642,7.87022,27.1376,47.2491
synthetic_4000_4000_avg420_std0.2_diagonal_0.005_n14,4000,4000,1678010,4000,4000,5786016,244.814,128,0.0545962,0.426533,7.86814,27.1305,47.2491
synthetic_161000_161000_avg3.1_std13_random_n14,161000,161000,1634648,161000,161000,43507648,2561.59,128,1.16124,9.07217,0.360365,9.59145,356.297
synthetic_161000_161000_avg3.1_std13_diagonal_0.5_n14,161000,161000,1634648,161000,161000,7098464,334.25,128,0.0886792,0.692806,4.71892,20.4919,58.0225
synthetic_161000_161000_avg3.1_std13_diagonal_0.05_n14,161000,161000,1634648,161000,161000,8891296,443.927,128,0.0922796,0.720934,4.53481,24.666,72.6627
synthetic_161000_161000_avg3.1_std13_diagonal_0.005_n14,161000,161000,1634648,161000,161000,11314880,592.191,128,0.181368,1.41693,2.3073,15.9709,92.528
synthetic_38000_38000_avg45_std0.84_random_n14,38000,38000,1691008,38000,38000,12267392,625.448,128,0.153976,1.20294,2.81146,20.3957,100.229
synthetic_38000_38000_avg45_std0.84_diagonal_0.5_n14,38000,38000,1691008,38000,38000,5124224,203.028,128,0.0485312,0.37915,8.91999,27.03,41.8563
synthetic_38000_38000_avg45_std0.84_diagonal_0.05_n14,38000,38000,1691008,38000,38000,7369728,335.819,128,0.0698225,0.545488,6.19998,27.0207,60.1938
synthetic_38000_38000_avg45_std0.84_diagonal_0.005_n14,38000,38000,1691008,38000,38000,9313728,450.78,128,0.103631,0.80962,4.17729,23.0077,76.0847
synthetic_171000_171000_avg10_std8_random_n14,171000,171000,1763274,171000,171000,48168864,2631.79,128,1.29168,10.0913,0.349465,9.54662,394.491
synthetic_171000_171000_avg10_std8_diagonal_0.5_n14,171000,171000,1763274,171000,171000,7570464,329.341,128,0.0929922,0.726502,4.85415,20.8409,61.8781
synthetic_171000_171000_avg10_std8_diagonal_0.05_n14,171000,171000,1763274,171000,171000,9524800,440.177,128,0.0955469,0.74646,4.72436,25.5199,77.8391
synthetic_171000_171000_avg10_std8_diagonal_0.005_n14,171000,171000,1763274,171000,171000,12139520,588.465,128,0.178717,1.39622,2.52578,17.3891,99.2474
synthetic_141000_141000_avg10_std13_random_n14,141000,141000,1802169,141000,141000,44839616,2388.09,128,0.988539,7.72296,0.466704,11.612,366.835
